title,text_raw,url,text_clean,sentiment_label,sentiment_score,source_type,username,date
Ekonomi Indonesia Tetap Resilien Meski Rupiah di Rp18.000,"Meski rupiah melemah, fundamental ekonomi Indonesia tetap kuat dengan cadangan devisa yang memadai dan pertumbuhan stabil.",https://money.kompas.com/read/2026/06/04/085746426/rupiah-tembus-rp-18000-per-dollar-as-terlemah-sepanjang-sejarah,meski rupiah melemah fundamental ekonomi indonesia tetap kuat dengan cadangan devisa yang memadai dan pertumbuhan stabil,positive,0.82,,,
Rupiah Tembus Rp18.000 per Dolar AS,Nilai tukar rupiah menyentuh level Rp18.000 per dolar AS. Pemerintah dan BI terus memantau situasi.,https://money.kompas.com/read/2026/06/04/085746426/rupiah-tembus-rp-18000-per-dollar-as-terlemah-sepanjang-sejarah,nilai tukar rupiah menyentuh level rp18 000 per dolar as pemerintah dan bi terus memantau situasi,neutral,0.55,,,
Rupiah Anjlok ke Level Terlemah Sepanjang Sejarah,Pelemahan rupiah hingga Rp18.000 menimbulkan kekhawatiran terhadap daya beli masyarakat.,https://money.kompas.com/read/2026/06/04/085746426/rupiah-tembus-rp-18000-per-dollar-as-terlemah-sepanjang-sejarah,pelemahan rupiah hingga rp18 000 menimbulkan kekhawatiran terhadap daya beli masyarakat,negative,0.25,,,
Dampak Pelemahan Rupiah Terasa ke Sektor Riil,Banyak pelaku usaha mengeluhkan kenaikan harga bahan baku akibat rupiah terus melemah.,https://money.kompas.com/read/2026/06/04/085746426/rupiah-tembus-rp-18000-per-dollar-as-terlemah-sepanjang-sejarah,banyak pelaku usaha mengeluhkan kenaikan harga bahan baku akibat rupiah terus melemah,negative,0.25,,,
Faktor Eksternal Penyebab Rupiah Tembus Rp18.000,Kenaikan dolar AS akibat kebijakan The Fed menjadi faktor utama pelemahan rupiah.,https://money.kompas.com/read/2026/06/04/085746426/rupiah-tembus-rp-18000-per-dollar-as-terlemah-sepanjang-sejarah,kenaikan dolar as akibat kebijakan the fed menjadi faktor utama pelemahan rupiah,neutral,0.55,,,
Pemerintah Siapkan Langkah Antisipasi Pelemahan Rupiah,Pemerintah dan BI optimis dapat menstabilkan rupiah melalui berbagai kebijakan yang disiapkan.,https://money.kompas.com/read/2026/06/04/085746426/rupiah-tembus-rp-18000-per-dollar-as-terlemah-sepanjang-sejarah,pemerintah dan bi optimis dapat menstabilkan rupiah melalui berbagai kebijakan yang disiapkan,positive,0.82,,,
,"rupiah melemah parah sampai 18000, pemerintah gak ngapa-ngapain!",https://www.instagram.com/p/C8xyzABC123/,rupiah melemah parah sampai 18000 pemerintah gak ngapa ngapain,negative,0.25,instagram,user1,2026-06-01
,"gila dollar 18 ribu, belanja susah banget",https://www.instagram.com/p/C8xyzABC123/,gila dollar 18 ribu belanja susah banget,negative,0.25,instagram,user2,2026-06-01
,"ini bencana ekonomi, rakyat menderita",https://www.instagram.com/p/C8xyzABC123/,ini bencana ekonomi rakyat menderita,negative,0.25,instagram,user3,2026-06-01
,daya beli hancur total,https://www.instagram.com/p/C8xyzABC123/,daya beli hancur total,negative,0.25,instagram,user4,2026-06-01
,"kebijakan gagal, rupiah jatuh terus",https://www.instagram.com/p/C8xyzABC123/,kebijakan gagal rupiah jatuh terus,negative,0.25,instagram,user5,2026-06-01
,"rupiah melemah parah sampai 18000, pemerintah gak ngapa-ngapain!",https://www.instagram.com/p/C8xyzABC123/,rupiah melemah parah sampai 18000 pemerintah gak ngapa ngapain,negative,0.25,instagram,user6,2026-06-01
,"gila dollar 18 ribu, belanja susah banget",https://www.instagram.com/p/C8xyzABC123/,gila dollar 18 ribu belanja susah banget,negative,0.25,instagram,user7,2026-06-01
,"ini bencana ekonomi, rakyat menderita",https://www.instagram.com/p/C8xyzABC123/,ini bencana ekonomi rakyat menderita,negative,0.25,instagram,user8,2026-06-01
,daya beli hancur total,https://www.instagram.com/p/C8xyzABC123/,daya beli hancur total,negative,0.25,instagram,user9,2026-06-01
,"kebijakan gagal, rupiah jatuh terus",https://www.instagram.com/p/C8xyzABC123/,kebijakan gagal rupiah jatuh terus,negative,0.25,instagram,user10,2026-06-01
,"rupiah melemah parah sampai 18000, pemerintah gak ngapa-ngapain!",https://www.instagram.com/p/C8xyzABC123/,rupiah melemah parah sampai 18000 pemerintah gak ngapa ngapain,negative,0.25,instagram,user11,2026-06-01
,"gila dollar 18 ribu, belanja susah banget",https://www.instagram.com/p/C8xyzABC123/,gila dollar 18 ribu belanja susah banget,negative,0.25,instagram,user12,2026-06-01
,"ini bencana ekonomi, rakyat menderita",https://www.instagram.com/p/C8xyzABC123/,ini bencana ekonomi rakyat menderita,negative,0.25,instagram,user13,2026-06-01
,daya beli hancur total,https://www.instagram.com/p/C8xyzABC123/,daya beli hancur total,negative,0.25,instagram,user14,2026-06-01
,"kebijakan gagal, rupiah jatuh terus",https://www.instagram.com/p/C8xyzABC123/,kebijakan gagal rupiah jatuh terus,negative,0.25,instagram,user15,2026-06-01
,"rupiah melemah parah sampai 18000, pemerintah gak ngapa-ngapain!",https://www.instagram.com/p/C8xyzABC123/,rupiah melemah parah sampai 18000 pemerintah gak ngapa ngapain,negative,0.25,instagram,user16,2026-06-01
,"gila dollar 18 ribu, belanja susah banget",https://www.instagram.com/p/C8xyzABC123/,gila dollar 18 ribu belanja susah banget,negative,0.25,instagram,user17,2026-06-01
,"ini bencana ekonomi, rakyat menderita",https://www.instagram.com/p/C8xyzABC123/,ini bencana ekonomi rakyat menderita,negative,0.25,instagram,user18,2026-06-01
,daya beli hancur total,https://www.instagram.com/p/C8xyzABC123/,daya beli hancur total,negative,0.25,instagram,user19,2026-06-01
,"kebijakan gagal, rupiah jatuh terus",https://www.instagram.com/p/C8xyzABC123/,kebijakan gagal rupiah jatuh terus,negative,0.25,instagram,user20,2026-06-01
,"rupiah melemah parah sampai 18000, pemerintah gak ngapa-ngapain!",https://www.instagram.com/p/C8xyzABC123/,rupiah melemah parah sampai 18000 pemerintah gak ngapa ngapain,negative,0.25,instagram,user21,2026-06-01
,"gila dollar 18 ribu, belanja susah banget",https://www.instagram.com/p/C8xyzABC123/,gila dollar 18 ribu belanja susah banget,negative,0.25,instagram,user22,2026-06-01
,"ini bencana ekonomi, rakyat menderita",https://www.instagram.com/p/C8xyzABC123/,ini bencana ekonomi rakyat menderita,negative,0.25,instagram,user23,2026-06-01
,daya beli hancur total,https://www.instagram.com/p/C8xyzABC123/,daya beli hancur total,negative,0.25,instagram,user24,2026-06-01
,"kebijakan gagal, rupiah jatuh terus",https://www.instagram.com/p/C8xyzABC123/,kebijakan gagal rupiah jatuh terus,negative,0.25,instagram,user25,2026-06-01
,"rupiah melemah parah sampai 18000, pemerintah gak ngapa-ngapain!",https://www.instagram.com/p/C8xyzABC123/,rupiah melemah parah sampai 18000 pemerintah gak ngapa ngapain,negative,0.25,instagram,user26,2026-06-01
,"gila dollar 18 ribu, belanja susah banget",https://www.instagram.com/p/C8xyzABC123/,gila dollar 18 ribu belanja susah banget,negative,0.25,instagram,user27,2026-06-01
,"ini bencana ekonomi, rakyat menderita",https://www.instagram.com/p/C8xyzABC123/,ini bencana ekonomi rakyat menderita,negative,0.25,instagram,user28,2026-06-01
,daya beli hancur total,https://www.instagram.com/p/C8xyzABC123/,daya beli hancur total,negative,0.25,instagram,user29,2026-06-01
,"kebijakan gagal, rupiah jatuh terus",https://www.instagram.com/p/C8xyzABC123/,kebijakan gagal rupiah jatuh terus,negative,0.25,instagram,user30,2026-06-01
,"rupiah melemah parah sampai 18000, pemerintah gak ngapa-ngapain!",https://www.instagram.com/p/C8xyzABC123/,rupiah melemah parah sampai 18000 pemerintah gak ngapa ngapain,negative,0.25,instagram,user31,2026-06-01
,"gila dollar 18 ribu, belanja susah banget",https://www.instagram.com/p/C8xyzABC123/,gila dollar 18 ribu belanja susah banget,negative,0.25,instagram,user32,2026-06-01
,"ini bencana ekonomi, rakyat menderita",https://www.instagram.com/p/C8xyzABC123/,ini bencana ekonomi rakyat menderita,negative,0.25,instagram,user33,2026-06-01
,daya beli hancur total,https://www.instagram.com/p/C8xyzABC123/,daya beli hancur total,negative,0.25,instagram,user34,2026-06-01
,"kebijakan gagal, rupiah jatuh terus",https://www.instagram.com/p/C8xyzABC123/,kebijakan gagal rupiah jatuh terus,negative,0.25,instagram,user35,2026-06-01
,"rupiah melemah parah sampai 18000, pemerintah gak ngapa-ngapain!",https://www.instagram.com/p/C8xyzABC123/,rupiah melemah parah sampai 18000 pemerintah gak ngapa ngapain,negative,0.25,instagram,user36,2026-06-01
,"gila dollar 18 ribu, belanja susah banget",https://www.instagram.com/p/C8xyzABC123/,gila dollar 18 ribu belanja susah banget,negative,0.25,instagram,user37,2026-06-01
,"ini bencana ekonomi, rakyat menderita",https://www.instagram.com/p/C8xyzABC123/,ini bencana ekonomi rakyat menderita,negative,0.25,instagram,user38,2026-06-01
,daya beli hancur total,https://www.instagram.com/p/C8xyzABC123/,daya beli hancur total,negative,0.25,instagram,user39,2026-06-01
,"kebijakan gagal, rupiah jatuh terus",https://www.instagram.com/p/C8xyzABC123/,kebijakan gagal rupiah jatuh terus,negative,0.25,instagram,user40,2026-06-01
,"rupiah melemah parah sampai 18000, pemerintah gak ngapa-ngapain!",https://www.instagram.com/p/C8xyzABC123/,rupiah melemah parah sampai 18000 pemerintah gak ngapa ngapain,negative,0.25,instagram,user41,2026-06-01
,"gila dollar 18 ribu, belanja susah banget",https://www.instagram.com/p/C8xyzABC123/,gila dollar 18 ribu belanja susah banget,negative,0.25,instagram,user42,2026-06-01
,"ini bencana ekonomi, rakyat menderita",https://www.instagram.com/p/C8xyzABC123/,ini bencana ekonomi rakyat menderita,negative,0.25,instagram,user43,2026-06-01
,daya beli hancur total,https://www.instagram.com/p/C8xyzABC123/,daya beli hancur total,negative,0.25,instagram,user44,2026-06-01
,"kebijakan gagal, rupiah jatuh terus",https://www.instagram.com/p/C8xyzABC123/,kebijakan gagal rupiah jatuh terus,negative,0.25,instagram,user45,2026-06-01
,rupiah saat ini di level 18000 per dollar,https://www.instagram.com/p/C8xyzABC123/,rupiah saat ini di level 18000 per dollar,neutral,0.55,instagram,user46,2026-06-01
,kurs dolar terus naik beberapa hari ini,https://www.instagram.com/p/C8xyzABC123/,kurs dolar terus naik beberapa hari ini,neutral,0.55,instagram,user47,2026-06-01
,berita ini sedang ramai dibahas,https://www.instagram.com/p/C8xyzABC123/,berita ini sedang ramai dibahas,neutral,0.55,instagram,user48,2026-06-01
,angka 18000 ini rekor baru ya?,https://www.instagram.com/p/C8xyzABC123/,angka 18000 ini rekor baru ya,neutral,0.55,instagram,user49,2026-06-01
,rupiah saat ini di level 18000 per dollar,https://www.instagram.com/p/C8xyzABC123/,rupiah saat ini di level 18000 per dollar,neutral,0.55,instagram,user50,2026-06-01
,kurs dolar terus naik beberapa hari ini,https://www.instagram.com/p/C8xyzABC123/,kurs dolar terus naik beberapa hari ini,neutral,0.55,instagram,user51,2026-06-01
,berita ini sedang ramai dibahas,https://www.instagram.com/p/C8xyzABC123/,berita ini sedang ramai dibahas,neutral,0.55,instagram,user52,2026-06-01
,angka 18000 ini rekor baru ya?,https://www.instagram.com/p/C8xyzABC123/,angka 18000 ini rekor baru ya,neutral,0.55,instagram,user53,2026-06-01
,rupiah saat ini di level 18000 per dollar,https://www.instagram.com/p/C8xyzABC123/,rupiah saat ini di level 18000 per dollar,neutral,0.55,instagram,user54,2026-06-01
,kurs dolar terus naik beberapa hari ini,https://www.instagram.com/p/C8xyzABC123/,kurs dolar terus naik beberapa hari ini,neutral,0.55,instagram,user55,2026-06-01
,berita ini sedang ramai dibahas,https://www.instagram.com/p/C8xyzABC123/,berita ini sedang ramai dibahas,neutral,0.55,instagram,user56,2026-06-01
,angka 18000 ini rekor baru ya?,https://www.instagram.com/p/C8xyzABC123/,angka 18000 ini rekor baru ya,neutral,0.55,instagram,user57,2026-06-01
,rupiah saat ini di level 18000 per dollar,https://www.instagram.com/p/C8xyzABC123/,rupiah saat ini di level 18000 per dollar,neutral,0.55,instagram,user58,2026-06-01
,kurs dolar terus naik beberapa hari ini,https://www.instagram.com/p/C8xyzABC123/,kurs dolar terus naik beberapa hari ini,neutral,0.55,instagram,user59,2026-06-01
,berita ini sedang ramai dibahas,https://www.instagram.com/p/C8xyzABC123/,berita ini sedang ramai dibahas,neutral,0.55,instagram,user60,2026-06-01
,angka 18000 ini rekor baru ya?,https://www.instagram.com/p/C8xyzABC123/,angka 18000 ini rekor baru ya,neutral,0.55,instagram,user61,2026-06-01
,rupiah saat ini di level 18000 per dollar,https://www.instagram.com/p/C8xyzABC123/,rupiah saat ini di level 18000 per dollar,neutral,0.55,instagram,user62,2026-06-01
,kurs dolar terus naik beberapa hari ini,https://www.instagram.com/p/C8xyzABC123/,kurs dolar terus naik beberapa hari ini,neutral,0.55,instagram,user63,2026-06-01
,berita ini sedang ramai dibahas,https://www.instagram.com/p/C8xyzABC123/,berita ini sedang ramai dibahas,neutral,0.55,instagram,user64,2026-06-01
,angka 18000 ini rekor baru ya?,https://www.instagram.com/p/C8xyzABC123/,angka 18000 ini rekor baru ya,neutral,0.55,instagram,user65,2026-06-01
,rupiah saat ini di level 18000 per dollar,https://www.instagram.com/p/C8xyzABC123/,rupiah saat ini di level 18000 per dollar,neutral,0.55,instagram,user66,2026-06-01
,kurs dolar terus naik beberapa hari ini,https://www.instagram.com/p/C8xyzABC123/,kurs dolar terus naik beberapa hari ini,neutral,0.55,instagram,user67,2026-06-01
,berita ini sedang ramai dibahas,https://www.instagram.com/p/C8xyzABC123/,berita ini sedang ramai dibahas,neutral,0.55,instagram,user68,2026-06-01
,angka 18000 ini rekor baru ya?,https://www.instagram.com/p/C8xyzABC123/,angka 18000 ini rekor baru ya,neutral,0.55,instagram,user69,2026-06-01
,rupiah saat ini di level 18000 per dollar,https://www.instagram.com/p/C8xyzABC123/,rupiah saat ini di level 18000 per dollar,neutral,0.55,instagram,user70,2026-06-01
,semoga rupiah segera menguat kembali,https://www.instagram.com/p/C8xyzABC123/,semoga rupiah segera menguat kembali,positive,0.82,instagram,user71,2026-06-01
,pemerintah pasti punya solusi terbaik,https://www.instagram.com/p/C8xyzABC123/,pemerintah pasti punya solusi terbaik,positive,0.82,instagram,user72,2026-06-01
,tetap optimis Indonesia bisa bangkit,https://www.instagram.com/p/C8xyzABC123/,tetap optimis indonesia bisa bangkit,positive,0.82,instagram,user73,2026-06-01
,semoga ada kebijakan yang membantu rakyat,https://www.instagram.com/p/C8xyzABC123/,semoga ada kebijakan yang membantu rakyat,positive,0.82,instagram,user74,2026-06-01
,"Indonesia kuat, pasti bisa lewati ini",https://www.instagram.com/p/C8xyzABC123/,indonesia kuat pasti bisa lewati ini,positive,0.82,instagram,user75,2026-06-01
,semoga rupiah segera menguat kembali,https://www.instagram.com/p/C8xyzABC123/,semoga rupiah segera menguat kembali,positive,0.82,instagram,user76,2026-06-01
,pemerintah pasti punya solusi terbaik,https://www.instagram.com/p/C8xyzABC123/,pemerintah pasti punya solusi terbaik,positive,0.82,instagram,user77,2026-06-01
,tetap optimis Indonesia bisa bangkit,https://www.instagram.com/p/C8xyzABC123/,tetap optimis indonesia bisa bangkit,positive,0.82,instagram,user78,2026-06-01
,semoga ada kebijakan yang membantu rakyat,https://www.instagram.com/p/C8xyzABC123/,semoga ada kebijakan yang membantu rakyat,positive,0.82,instagram,user79,2026-06-01
,"Indonesia kuat, pasti bisa lewati ini",https://www.instagram.com/p/C8xyzABC123/,indonesia kuat pasti bisa lewati ini,positive,0.82,instagram,user80,2026-06-01
,semoga rupiah segera menguat kembali,https://www.instagram.com/p/C8xyzABC123/,semoga rupiah segera menguat kembali,positive,0.82,instagram,user81,2026-06-01
,pemerintah pasti punya solusi terbaik,https://www.instagram.com/p/C8xyzABC123/,pemerintah pasti punya solusi terbaik,positive,0.82,instagram,user82,2026-06-01
,tetap optimis Indonesia bisa bangkit,https://www.instagram.com/p/C8xyzABC123/,tetap optimis indonesia bisa bangkit,positive,0.82,instagram,user83,2026-06-01
,semoga ada kebijakan yang membantu rakyat,https://www.instagram.com/p/C8xyzABC123/,semoga ada kebijakan yang membantu rakyat,positive,0.82,instagram,user84,2026-06-01
,"Indonesia kuat, pasti bisa lewati ini",https://www.instagram.com/p/C8xyzABC123/,indonesia kuat pasti bisa lewati ini,positive,0.82,instagram,user85,2026-06-01
,semoga rupiah segera menguat kembali,https://www.instagram.com/p/C8xyzABC123/,semoga rupiah segera menguat kembali,positive,0.82,instagram,user86,2026-06-01
